"alt","firstComment","imageUrl","likesCount","locationName","ownerUsername","timestamp","url"
"Image may contain: possible text that says 'My health is worth the sacrifice #meetcoachroberta'","Day 18: My health is worth the sacrifice.
.
.
After every affirmation, take a deep breath in and imagine sending that affirmation - and the feelings that accompany it - to every inch, every cell of your body.
.
.
Remember to say your affirmations as often as you need to today and let your ears hear the words.
.
.
Tag a friend (or more) who you know can benefit from this exercise. It  helps to have an accountability partner when forming new habits.
.
.
Once you have completed day 18, type ‘I did it’ in the comments below.
.
.
Sending positive energy your way for a happy and healthy day ~ Roberta","https://scontent-lga3-1.cdninstagram.com/v/t51.2885-15/e35/89985799_905377806571897_8568865606468601647_n.jpg?_nc_ht=scontent-lga3-1.cdninstagram.com&_nc_cat=101&_nc_ohc=pBTTqwDvsNoAX8lEOAv&oh=d258d64c32bcde5a72dc1f24798db3f9&oe=5EA0D9FA","0",,,"2020-03-19T10:52:29.000Z","https://www.instagram.com/p/B96ZxuipyEH"
"Image may contain: 2 people, possible text that says 'GOING LIVE FRIDAY NIGHT 8PM EASTERN! LET'S CHAT + BAKE'","@ww_canada @ww_ambassador @uptothebeatfit @fitbit @fitbitversa @fitgirlscanada @fitgirlsguide

#livevideo #facebook #YouTuber #subscribe #easyrecipes #beyondthescale #wwblog #blogger #weight #weightloss #mindset #balance #smartpoints #wellnessjourney #beyondthescale #nonscalevictory #wwsupport #wwblog #YouTube #recipes #baking #makeyourself #homemade #lovetobake #mugcake #chocolatecake #microwavecake #dessert #delicious #letsbake #letschat #healthinformation

Hi guys! In this crazy crazy time I know so many people are stressed out and worried about so many things!! I want to chat with you about strategies and tips to help you get through this!! I also thought it will be fun to give you a sneak peek at my microwave mug cakes that we can make together too!! 😜

PLEASE JOIN ME TOMORROW 8PM  EASTERN

TIP... If you  haven't already joined my Facebook group WW Tips And Recipes By Risa please come aboard!! Add friends and family too!!","https://scontent-lga3-1.cdninstagram.com/v/t51.2885-15/e35/s1080x1080/89987694_772653516595009_1085380134385326533_n.jpg?_nc_ht=scontent-lga3-1.cdninstagram.com&_nc_cat=101&_nc_ohc=jsR6R4MRMVUAX-4MIuP&oh=1e5307a1dfcc259e402579cedfb1ba13&oe=5EA65896","0",,,"2020-03-19T10:52:16.000Z","https://www.instagram.com/p/B96ZwHrF3ZF"
"Photo by You Oily Live Once PH on March 19, 2020.",".
.
pursue what’s pure.
.
.
diffusing these awesome blend.. citrusy feel.. calms the mind and immune booster as well..😊
.
.
#youoilyliveonceyoloph #wellnessoils #wellnessjourney #wellnessthatworks #wellnessadvocatedoterra #doterra #doterraessentialoils #doterraessentialoilsph #doterraessentialoilscebu #doterracebu #doterramomph #doterramomph #doterramommy #essentialoils101 #essentialoils #essentialwellnesstribe #mommydiaries #mommydiariesph #mommylifecebu #momof3 #healthyhabits #healthylifestyle #yolo #momprenuer #cebuph #cebuana #cebumama #organic #kidfriendly #naturalfirstaid #essentialoilsforkidsandall","https://scontent-lga3-1.cdninstagram.com/v/t51.2885-15/e35/90092279_194714108625150_2052151202128539020_n.jpg?_nc_ht=scontent-lga3-1.cdninstagram.com&_nc_cat=106&_nc_ohc=Kpje5SB9T9YAX-Z1bUt&oh=e24bc32ed87d34b46031ad321906ec22&oe=5E9CEABC","0",,,"2020-03-19T10:51:49.000Z","https://www.instagram.com/p/B96Zs2Bg6td"
"Image may contain: text","🎋
~
~
#benessere #benesserementale #benesserepsicologico #benesserefisico #wellness #psicologia #terapia #psychology #psychotherapy #crescitapersonale #wellnessblogger #wellnessjourney #mentalhelath #mentalhealthmatters #mentalhealthblogger #therapistlife #therapistofinstagram #psicologiadelbenessere #bodymind #bodyandmind #instadaily #instapsicologia #instapsy #instawellness","https://scontent-lga3-1.cdninstagram.com/v/t51.2885-15/e35/89984222_1075226826186149_2193249137321833245_n.jpg?_nc_ht=scontent-lga3-1.cdninstagram.com&_nc_cat=105&_nc_ohc=xUHDlIOMcNEAX-hZyzv&oh=295ba582b302087b8857ce11e10e47fd&oe=5EA2C73D","0",,,"2020-03-19T10:51:44.000Z","https://www.instagram.com/p/B96ZsQalS4L"
"Image may contain: 1 person, outdoor and nature","Throwback Thursday❤

Think back when you last time scrolled your old photos, droolled in your old memories..With fast paced life we never get time to cherish those old memories again..But with #stayathome time you can probably get some moment to revisit those old time spent with your family and friends.

Looking at old photos is a way to revisit an experience we once had and doing so increases our sense of purpose and overall wellbeing.

It will help you many ways in your self care journey. It allows you to reconnect, see past successes, makes you grateful for the poeople in your life & it reminds you how far you have come or how much you have grown.

So if you are getting bored sometime or getting stressed from #socialdistancing situation dont forget to look beyond that bubble bath and scented candle. One of the best form of Self Care may be just right there in your camera roll.

#selfcarethread #throwbackthursday #memoriesforlife❤️","https://scontent-lga3-1.cdninstagram.com/v/t51.2885-15/e35/s1080x1080/90218129_2986269431393066_7712974527286711554_n.jpg?_nc_ht=scontent-lga3-1.cdninstagram.com&_nc_cat=102&_nc_ohc=Eax_ksJ669EAX_YI90S&oh=03b1b88afdaea67148d2012c9c212cce&oe=5E9B441B","3",,,"2020-03-19T10:49:56.000Z","https://www.instagram.com/p/B96ZfAloHGA"
"Image may contain: text","Happy First Day of Spring🙌⠀⠀⠀⠀⠀⠀⠀⠀⠀ Warm weather plus green grass and flowers. What a perfect combo. ⠀⠀⠀⠀⠀⠀⠀⠀⠀
What is the weather like where you live?⠀⠀⠀⠀⠀⠀⠀⠀⠀
.⠀⠀⠀⠀⠀⠀⠀⠀⠀
.⠀⠀⠀⠀⠀⠀⠀⠀⠀
#onlythegoodstufftotakecareofyou by @victoria.naturals available in the USA & Nigeria⠀⠀⠀⠀⠀⠀⠀⠀⠀
.⠀⠀⠀⠀⠀⠀⠀⠀⠀
.⠀⠀⠀⠀⠀⠀⠀⠀⠀
#victorianaturals #positiveaffirmations #selfacceptance #fitness #wellnessjourney #fitnessblogger⠀⠀⠀⠀⠀⠀⠀⠀⠀
#healthyskin #healthyskincare #nourishyourself #holistichealth #holisticliving #holisticlifestyle #nontoxicbeauty #nontoxicbeautyproducts #dailyskincare #naturalhealing #skincareroutine #greenlifestyle #wellnessblogger #cleanliving #organicskincare #loveyourskin #pamperyourself #healthyhappylife #organicmom #organicmoments #organicisthebest","https://scontent-lga3-1.cdninstagram.com/v/t51.2885-15/fr/e15/s1080x1080/89960074_2570311856544694_6402851901035991359_n.jpg?_nc_ht=scontent-lga3-1.cdninstagram.com&_nc_cat=110&_nc_ohc=70FlrceEudwAX-Fe8GJ&oh=7c3e2778f2e9a205c3ad1b530e80d70b&oe=5EA79461","0",,,"2020-03-19T10:45:07.000Z","https://www.instagram.com/p/B96Y7denFkd"
"Image may contain: 2 people, people sitting and indoor","Eight years ago....
I was already experiencing #chronicfatigue but was dismissed by a lot of doctors. And so I thought I might be just too stressed at work or I needed to change my environment. So I did, I went to Singapore where I was reunited with @wenggunner007. You wont notice your symptoms when you're having a great time and a good laugh with friends. Missing my SG friends ❤❤❤
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
#chronicillness #chronicdisease #autoimmunedisease #autoimmunewarrior #friendship #worklifebalance #singapore #singapura #chillin #roadtorecovery #wellnessjourney #lifewithchronicillness #chronicfatiguesyndrome #laughteristhebestmedicine #laughter","https://scontent-lga3-1.cdninstagram.com/v/t51.2885-15/e35/90089635_687517001985991_4462517259788572901_n.jpg?_nc_ht=scontent-lga3-1.cdninstagram.com&_nc_cat=107&_nc_ohc=BB8ImFyTWQUAX8QimBi&oh=e64eea27e221b68d3c0928f81c8cf77b&oe=5EA61C24","2",,,"2020-03-19T10:44:37.000Z","https://www.instagram.com/p/B96Y4HKlPXP"
"Image may contain: one or more people, cloud, ocean, sky, beach, outdoor, nature and water","O preço era caro demais (a paz), preferiu não pagar ... 🧘‍♀️☀️ . .

#diadesol #dialindo🌞 #bomdia #solemar #summertime #beachlife #guriri #es #capixabando #lifestylephotography #fitness #eatcleantraindirty #fitnessmodel #fitnesslife #gymaddict #gymmotivation #academias #nutrition #healthylifestyle #nutri #wellnessjourney #correreviver #happy #vidasaudavél #vitoriaes  #vilavelha #muscle #lovegymnastics #workouts #motivacion","https://scontent-lga3-1.cdninstagram.com/v/t51.2885-15/e35/90085963_2566664746955488_3760441479839168821_n.jpg?_nc_ht=scontent-lga3-1.cdninstagram.com&_nc_cat=104&_nc_ohc=pXOjGdhVGs4AX87H-np&oh=0ed1a1ba1d9478cdea1639e89706c966&oe=5E9F441E","11",,,"2020-03-19T10:43:43.000Z","https://www.instagram.com/p/B96YxffhGFM"
"Image may contain: one or more people, people sitting and indoor","Inhale the Future, Exhale the Past 🙆‍♀
.
.
#yogaoutlet #yogalove #yogainspiration #yogaeverydamnday #yogapractice #yogafit #yogafitness #yogamotivation #yogavibes #yogaforeveryone #yogalover #yogalife #yogagirl","https://scontent-lga3-1.cdninstagram.com/v/t51.2885-15/fr/e15/s1080x1080/90088755_782161845640176_1676676817036353235_n.jpg?_nc_ht=scontent-lga3-1.cdninstagram.com&_nc_cat=100&_nc_ohc=7_1PGDqQFqMAX-NUatQ&oh=b0bb986a08cfc221885c50b6227d8139&oe=5E9D8005","5",,,"2020-03-19T10:43:30.000Z","https://www.instagram.com/p/B96Yv-nnnd6"
"Image may contain: possible text that says 'There is coming a time when your money will be of no use, for your life was never valued in $$$$$ And death knows! A.Kinglock-Murra @akinglock Picture Quotes & Creator App'","#corona#money#quoteday#life#deepthoughts#death#factsaboutlife#family#poet#poem#poetry#world#travel#music#fitnessquotes#diet#nutrition#wellnessjourney#quotestags#wordoftheday#writerssociety#writings#poetrysociety#blog#stories#foodforthought#instapoetry#mood","https://scontent-lga3-1.cdninstagram.com/v/t51.2885-15/e35/90393992_1476738882499637_885381974260339008_n.jpg?_nc_ht=scontent-lga3-1.cdninstagram.com&_nc_cat=105&_nc_ohc=ixTH2lMSpocAX_bls39&oh=84ff64d8ab30c541ba5d77451d96ca1c&oe=5E9B1800","2",,,"2020-03-19T10:40:54.000Z","https://www.instagram.com/p/B96Yc44g2e-"
